old_file,abstract
1801_01968_NEC2DQN_en.tex," The research on deep reinforcement learning which estimates Q-value by deep learning has been attracted the interest of researchers recently. In deep reinforcement learning, it is important to efficiently learn the experiences that an agent has collected by exploring environment. In this research, we propose NEC2DQN that improves learning speed of a poor sample efficiency algorithm such as DQN by using good one such as NEC at the beginning of learning. We show it is able to learn faster than Double DQN or N-step DQN in the experiments of Pong. "
1801_02570_Asenjo_Moya_PoP.tex," It is well--known that when magnetic monopoles are introduced in plasma equations the propagation of electromagnetic waves is modified. This occurs because of Maxwell equations acquire a symmetrical structure due to the existence of electric and magnetic charge current densities. In this work we study the nonlinear phenomena of ponderomotive forces associated to the presence of magnetic monopoles in a plasma. We generalize the Washimi-Karpman result for the ponderomotive force on electric charges to take into account the symmetrical form of Maxwell equations in the presence of magnetic charges. It is shown that the general ponderomotive force on this plasma depends non--trivially on the magnetic monopoles, through the slowly temporal and spatial variations of the electromagnetic field amplitudes. The magnetic charges introduce corrections even if the plasma is unmagnetized. This last force induces a magnetization of the plasma, and therefore a cyclotron frequency (proportional to the square of the magnetic charge) is induced for electrons. Finally, the magnetic monopoles also experience a ponderomotive force due to the electrons. This force accelerates the magnetic charges along the direction of propagation of the electromagnetic waves. The possible consequences for experimental detection are discussed. "
1801_07833_On_a_parameter-dependent_symbolization_in_complexity_detection.tex," Symbolization is prerequisite for symbolic time series analysis which is important in nonlinear dynamic complexity analysis. Shannon entropy for a parameter-dependent four-symbols transformation is analyzed and its complexity detection is validated in our works. We analyze the symbolic entropy in complexity detection of two chaotic models, logistic and Henon maps, and use ECG and HRV derived from ECG of CHF patients, healthy young and elderly subjects to test the impacts of parameter settings on complexity analysis. The complexity-loss theory of aging and diseased heartbeats is validated and reasons that may account for the paradox of symbolic entropy in ECG are discussed. Tests results prove that original parameter settings are not universally suitable for different time series, and it is necessary to adjust the controlling parameter accordingly. "
1801_05991_suppl.tex,
1801_03551_SPCOD.tex," Detecting carried objects is one of the requirements for developing systems to reason about activities involving people and objects. We present an approach to detect carried objects from a single video frame with a novel method that incorporates features from multiple scales. Initially, a foreground mask in a video frame is segmented into multi-scale superpixels. Then the human-like regions in the segmented area are identified by matching a set of extracted features from superpixels against learned features in a codebook. A carried object probability map is generated using the complement of the matching probabilities of superpixels to human-like regions and background information. A group of superpixels with high carried object probability and strong edge support is then merged to obtain the shape of the carried object. We applied our method to two challenging datasets, and results show that our method is competitive with or better than the state-of-the-art. "
1801_02142_til1.tex," We prove the consistency of $\clubsuit$ with the negation of Galvin's property. On the other hand, we show that superclub implies Galvin's property. We also prove the consistency of $\kappa^+$ with $s_\kappa>\kappa^+$ for a supercompact cardinal $\kappa$ . "
1801_05739_Aim_09b.tex," Bell tests have become a powerful tool for quantifying security, randomness, entanglement, and many other properties, as well as for investigating fundamental physical limits. In all these cases, the specific experimental value of the Bell parameter is important as it leads to a quantitative conclusion. However, most experimental implementations aiming for high values of the Bell parameter suffer from the defect of showing signaling. This signaling can be attributed to systematic errors occurring due to weaknesses in the experimental designs. Here we point out the importance, for quantitative applications, to identify and address this problem. We present a set of experiments with polarization-entangled photons in which we point out common sources of systematic errors and demonstrate approaches to avoid them. This allows us to establish a reliable estimate for the Bell parameter. "
1801_09655_main.tex," Topological invariants allow to characterize Hamiltonians, predicting the existence of topologically protected in-gap modes. Those invariants are generically computed for infinite systems with translational symmetry, by tracing the evolution of the occupied wavefunctions under twisted boundary conditions. However, those procedures do not allow to calculate a topological invariant by evaluating the system locally, nor allow to determine it in the absence of translational symmetry. Here we show that artificial neural networks can be trained to identify the topological order by evaluating a local projection of the density matrix. We demonstrate this for two different models, a 1-D topological superconductor and a 2-D quantum anomalous Hall state, both with spatially modulated parameters. Our neural network correctly identifies the different topological domains in real space, predicting the location of in-gap states. By combining a neural network with a calculation of the electronic states that uses the Kernel Polynomial Method, we show that the local evaluation of the invariant can be carried out for systems without translational symmetry consisting of tens of thousands of atoms. Our results show that supervised learning is an efficient methodology to characterize the local topology of a system. "
1801_07920_JLTP_SI_template_LTD17.tex," Optical coupling to a lumped-element kinetic inductance detector (LEKID) via an antenna and transmission line structure enables a compact detector architecture, easily optimised for the required sensitivity and multiplexing performance of future cosmic microwave background (CMB) experiments. Coupling in this way allows multi-chroic, polarisation-sensitive pixels to be realised through planar on-chip filtering structures. However, adding the necessary dielectric layers to LEKID structures to form the microstrip-coupled architecture has the potential to increase two level system (TLS) contributions, resulting in excess detector noise. Using a lumped-element resonator enables coupling via a microstrip to the inductive section only, whilst leaving capacitive elements clear of potentially noisy dielectrics. Here we present the preliminary data acquired to demonstrate that a microstrip transmission line structure can be coupled to a LEKID architecture with minimal additional TLS contributions. This is achieved through a simple fabrication process, which allows for the dielectric to be removed from capacitive regions of the LEKID. As a result we have produced resonators with the high quality factors required for large multiplexing ratios; thus highlighting the suitability of the separated KID architecture for future observations of the CMB.  CMB, instrumentation, kinetic inductance detectors  "
1801_05762_main.tex," On an abelian scheme over a smooth curve over $\IQbar$  a symmetric relatively ample line bundle defines a fiberwise N e ron--Tate height. If the base curve is inside a projective space, we also have a height on its $\IQbar$ -points that serves as a measure of each fiber, an abelian variety.  Silverman proved an asymptotic equality between these two heights on a curve in the abelian scheme. In this paper we prove an inequality between these heights on a subvariety of any dimension of the abelian scheme. As an application we prove the Geometric Bogomolov Conjecture for the function field of a curve defined over $\IQbar$ . Using Moriwaki's height we sketch how to extend our result when the base field of the curve has characteristic $0$ . %% Given an abelian scheme over a smooth curve over $\mathbb{Q}$ , we have the N e ron--Tate height fiberwise defined by a symmetric relatively ample line bundle on this abelian scheme and a height function on the set of algebraic points of the base curve. For any irreducible subvariety $X$ of this abelian scheme, we prove that the N e ron--Tate height of any algebraic point in an explicit Zariski open subset of $X$ can be uniformly bounded from below by the height of its projection to the curve. We use this height inequality to prove the Geometric Bogomolov Conjecture over characteristic $0$ . "
1801_07877_Journal_REVISED_v6.tex," This paper investigates the design of access policies in spectrum sharing networks by exploiting the retransmission protocol of legacy primary users (PUs) to improve the spectral efficiency via opportunistic retransmissions at secondary users (SUs) and chain decoding  MichelusiCD . The optimal access policy which maximizes the SU throughput under a maximum interference constraint to the PU and its performance are found in closed form. It is shown that the optimal policy randomizes among three modes: 1) Idle: the SU remains idle over the retransmission window of the PU, to avoid interfering; 2) Interference cancellation : the SU transmits only after decoding the PU packet , to improve its own throughput via interference cancellation; 3) Always transmit : the SU transmits over the retransmission window of the PU to maximize the future potential of interference cancellation via chain decoding. This structure is exploited to design a stochastic gradient descent algorithm to facilitate learning and adaptation in settings where the model parameters are unknown or vary over time, based on ARQ feedback from the PU and CSI measurements at the SU receiver. It is shown numerically that, for a 10 \% interference constraint, the optimal access policy yields 15 \% improvement over a state-of-the-art scheme without selective SU retransmissions, and up to $2\times$ gain over a scheme using a non-adaptive access policy instead of the optimal one. "
1801_05849_cdc_draft.tex," This paper pertains to the analysis and design of decentralized estimation schemes that make use of limited communication. Briefly, these schemes equip the sensors with scalar states that iteratively merge the measurements and the state of other sensors to be used for state estimation. Contrarily to commonly used distributed estimation schemes, the only information being exchanged are scalars, there is only one common time-scale for communication and estimation, and the retrieval of the state of the system and sensors is achieved in finite-time. We extend previous work to a more general setup and provide necessary and sufficient conditions required for the communication between the sensors that enable the use of limited communication decentralized estimation~schemes. Additionally, we discuss the cases where the sensors are memoryless, and where the sensors might not have the capacity to discern the contributions of other sensors. Based on these conditions and the fact that communication channels incur a cost, we cast the problem of finding the minimum cost communication graph that enables limited communication decentralized estimation schemes as an integer programming problem. "
1801_06779.tex," 		In this paper, we construct three families of semigroup algebras using Puiseux monoids, recently-studied additive submonoids of $\qq$ . The first family consists of semigroup algebras of certain atomic Puiseux monoids called primary. Properties of primary Puiseux monoids will allow us to show that the semigroup algebras they determine are atomic. The second family of algebras is constructed over a given algebraically closed field by using integrally closed Puiseux monoids. As we shall prove, the algebraically closedness of the field and the integrally closedness of the monoids ensure that the semigroup algebras they determine are antimatter Bezout domains. Then, we use a class of divisible Puiseux monoids to construct our last family of antimatter semigroup algebras over any perfect field of finite characteristic. 	"
