old_file,abstract
1801_00729.tex," The collective excitation  of  surface plasmons in a massless Dirac plasma (e.g., graphene) half-space (bounded by air) is investigated using a relativistic quantum fluid model. The unique features of such surface waves are discussed and compared with those in a Fermi plasma. It is found that in contrast to Fermi plasmas, the long-wavelength surface plasmon frequency $(\omega)$  in massless Dirac plasmas is explicitly nonclassical, i.e.,  $\hbar$ , where $h=2\pi\hbar$  is the Planck's constant. Besides some apparent similarities between the surface plasmon frequencies in massless Dirac plasmas and Fermi plasmas, several notable differences are also found and discussed. Our findings elucidate the properties of surface plasmons that may propagate in degenerate plasmas  where the relativistic and quantum effects play a vital role. "
1801_08725_2317.tex," Stimulated by the renewed observation of $D_{s0}^{*}(2317)$ signal and its updated mass value $(2318.3MeV/c^{2}$ in the process $e^{+}e^{-}s^{*+}D_{s0}^{*}(2317)^{-}+c.c.$ by BESIII Collaboration, we devote to reinvestigate $D_{s0}^{*}(2317)$ as a $0^{+}$ tetraquark state from QCD sum rules. Technically, four different possible currents are adopted and high condensates up to dimension $12$ are included in the operator product expansion (OPE) to ensure the quality of QCD sum rule analysis. In the end, we obtain the mass value $2.37^{+0.50}_{-0.36}~GeV$ for the scalar-scalar current, which agrees well with the experimental data of $D_{s0}^{*}(2317)$ and could support its explanation as a $0^{+}$ scalar-scalar tetraquark state. The final result for the axial-axial configuration is calculated to be $2.51^{+0.61}_{-0.43}~GeV$ , which is still consistent with the mass of $D_{s0}^{*}(2317)$ considering the uncertainty, and then the possibility of $D_{s0}^{*}(2317)$ as a axial-axial tetraquark state can not be excluded. For the pseudoscalar-pseudoscalar and the vector-vector cases, their unsatisfactory OPE convergence makes that it is of difficulty to find rational work windows to further acquire hadronic masses. "
1801_08646_Information-tree-datamatrix1_25_18.tex," Phylogenetic trees in genetics and biology in general are all binary. We make an attempt to answer one fundamental question: Is such binary branching from the coarsest to the finest scales sustained by data? We convert this question into an equivalent one: where is the structural information of tree in a data matrix? Results from this conceptual as well as computing issue afford us to conclude a negative answer: Each branch being split into two at each inter-node of tree from the top to bottom levels is a man-made structure. The data-driven computing paradigm Data Mechanics is employed here to reveal that information of tree is composed of a set of selected temperatures (or scales), each of which has a clustering composition strictly regulated by a temperature-specific cluster-sharing probability matrix. The resultant Data Cloud Geometry (DCG) tree on the space of species is proposed as the authentic structure contained in data. Particularly each core clusters on the finest scale, the bottom level, of DCG tree should not be further partitioned because of uniformity. Beyond the finest scale, the branching of DCG tree is primarily based on probability, which induces an Ultrametric satisfying super triangular inequality property. This Ultrametric property differentiates DCG tree from all popular trees based on Hierarchical clustering (HC) algorithm, which typically employs an empirical, often ad hoc distance measure. Since this measure is regulated by the triangular inequality, it is not capable of producing a ``flat"" branch, in which all its members (more than two) have equal distances to each others. We demonstrate such information content on an illustrative zoo data first, and then on two genomic data. 	"
1801_07738_niederhofer18.tex,{}{}{}{}
1801_06947.tex," Let $r$ and $n$ be positive integers, let $G_n$ be the complex reflection group of $n \times n$ monomial matrices whose entries are $r^{th}$ roots of unity and let $0 \leq k \leq n$ be an integer. Recently, Haglund, Rhoades and Shimozono ( $r=1$ ) and Chan and Rhoades ( $r>1$ ) introduced quotients $R_{n,k}$ (for $r>1$ ) and $S_{n,k}$ (for $r \geq 1$ ) of the polynomial ring $\CC[x_1,\ldots,x_n]$ in $n$ variables, which for $k=n$ reduce to the classical coinvariant algebra attached to $G_n$ . When $n=k$ and $r=1$ , Garsia and Stanton found an explicit isomorphism between the coinvariant algebra and a quotient of $\CC[\yy_S]$ , the polynomial ring in $2^n-1$ variables whose variables are indexed by nonempty subsets $S \subseteq [n]$ . In this paper, we will generalize this isomorphism to the rings $R_{n,k}$ and $S_{n,k}$ . "
1801_09727_main.tex," We present a classical model for high harmonic generation during the propagation of an intense laser pulse through an atomic gas. Numerical simulations of the model show excellent quantitative agreement with the corresponding quantum model for the blueshift and intensity reduction of the propagating laser pulse over experimentally realistic propagation distances. Furthermore, phase-space analysis of the classical model uncovers the mechanism behind an intriguing feature of the quantum high-harmonic spectrum: a significant extension of the high-harmonic cutoff beyond the $3.17U_p+I_p$ cutoff law. "
1801_08369_vs6.tex," Vibrational spectroscopy has been widely employed to unravel physical-chemical properties of biological systems. Due to its high sensitivity to monitor real time ""in situ"" changes, Raman spectroscopy has been successfully employed, e.g., in biomedicine, metabolomics, and biomedical engineering. The grounds of interpretation of Raman spectra in these cases is the isolated macromolecules constituent vibrational assignment. Due to this, probe the anharmonic interactions or the mutual interactions among specific moieties/side chains to name but a few is a challenge. We present a complete vibrational modes calculation for connective tissue in the fingerprint region ( $800-1800$ cm $^{-1}$ ) using first-principles Density Functional Theory. Our results indicated that important spectral features correlated to molecular characteristics have been ignored within the usual tissue spectral bands assignments. In particular, we found that the presence of confined water is the main responsible for the observed spectral complexity. Our calculations accounted for the inherent complexity of the spectral features in this region and useful spectral markers for biological processes were unambiguously identified. "
1801_01080_ID600.tex," %A novel deep neural network training paradigm that exploits the conjoint information in multi-modal features arising from heterogeneous sources is proposed. In a RGB-D based action recognition task, it cooperatively trains a single convolutional neural network (named c-ConvNet) on both RGB visual features and depth features, and deeply aggregates the two kinds of features for action recognition. Differently from the conventional ConvNet that learns the deep separable features for homogeneous modality-based classification with only one softmax loss function, the c-ConvNet enhances the discriminative power of the deeply learned features and weakens the modality discrepancy by jointly optimizing a ranking loss and a softmax loss for both homogeneous and heterogeneous modality-based action recognition. The ranking loss consists of intra-modality and cross-modality triplet losses, and it reduces both the intra-modality and cross-modality feature variations. Furthermore, knowledge about the correlations between RGB and depth data are incorporated in the c-ConvNet, and enables the use as additional depth information for the case where only RGB information is available. The proposed method was extensively evaluated on three RGB-D action recognition datasets, two large sets, ChaLearn LAP IsoGD and NTU RGB+D datasets, and a small set, SYSU 3D HOI dataset, and achieved state-of-the-art results. A novel deep neural network training paradigm that exploits the conjoint information in multiple heterogeneous sources is proposed. Specifically, in a RGB-D based action recognition task, it cooperatively trains a single convolutional neural network (named c-ConvNet) on both RGB visual features and depth features, and deeply aggregates the two kinds of features for action recognition. Differently from the conventional ConvNet that learns the deep separable features for homogeneous modality-based classification with only one softmax loss function, the c-ConvNet enhances the discriminative power of the deeply learned features and weakens the undesired modality discrepancy by jointly optimizing a ranking loss and a softmax loss for both homogeneous and heterogeneous modalities. The ranking loss consists of intra-modality and cross-modality triplet losses, and it reduces both the intra-modality and cross-modality feature variations. Furthermore, the correlations between RGB and depth data are embedded in the c-ConvNet, and can be retrieved by either of the modalities and contribute to the recognition in the case even only one of the modalities is available. The proposed method was extensively evaluated on two large RGB-D action recognition datasets, ChaLearn LAP IsoGD and NTU RGB+D datasets, and one small dataset, SYSU 3D HOI, and achieved state-of-the-art results. "
1801_08977_3D-BTW.tex," The BTW sandpile model is considered on three dimensional percolation lattice which is tunned with the occupation parameter $p$ . Along with the three-dimensional avalanches, we study the energy propagation in two-dimensional cross-sections. We use the moment analysis to extract the exponents for two separate cases: the critical ( $p=p_c3D$ ) and the off-critical ( $p_c<p\leq 1$ ) cases. The three-dimensional avalanches at $p=p_c$ has exponents like the regular 2D BTW model, whereas the exponents for the 2D cross-sections have serious similarities with the 2D critical Ising model. The moment analysis show that finite size scaling theory is the fulfilled, and some hyper-scaling relations are confirmed. For the off-critical lattice, the exponents change logarithmically with $p-p_c$ , for which the cut-off exponents $\nu$ drop discontinuously from $p=p_c$ to the other values. The analysis for the 2D cross-sections show a singular behavior at some $p_02D$ ( $p_c^{3D}$ and $p_c^{2D}$ being three- and two-dimensional percolation thresholds). We argue that there are two separate phases in the cross-sections, namely $p_c^{3D}2D$ which, due to lack of 2D percolation cluster, has no thermodynamic limit, and $p2D$ having the chance to involve percolated clusters. "
1801_01429_ms.tex," For any free oriented Borel-Moore homology theory $A$ , we construct an associative product on the $A$ -theory of the stack of Higgs torsion sheaves over a projective curve $C$ . We show that the resulting algebra $AHa_C^0$ admits a natural shuffle presentation, and prove it is faithful when $A$ is replaced with usual Borel-Moore homology groups. We also introduce moduli spaces of stable triples, heavily inspired by Nakajima quiver varieties, whose $A$ -theory admits an $AHa_C^0$ -action. In particular, we obtain an action of $AHa_C^0$ on the cohomology of Hilbert schemes of points on $T^*C$ . "
1801_08671_FBPC_Myoung_ACSPhoton.tex," We investigate the optical properties of a photonic crystal composed of a quasi-one-dimensional flat-band lattice array through finite-difference time-domain simulations. The photonic bands contain flat bands (FBs) at specific frequencies, which correspond to compact localized states as a consequence of destructive interference. The FBs are shown to be nondispersive along the $\Gamma\rightarrow X$ line, but dispersive along the $\Gamma\rightarrow Y$ line. The FB localization of light in a single direction only results in a self-collimation of light propagation throughout the photonic crystal at the FB frequency. "
1801_09956_VolatilityMCMC3.tex," Given discrete time observations over a fixed time interval, we study a nonparametric Bayesian approach to estimation of the volatility coefficient of a stochastic differential equation. We postulate a histogram-type prior on the volatility with piecewise constant realisations on bins forming a partition of the time interval. The values on the bins are assigned an inverse Gamma Markov chain (IGMC) prior. Posterior inference is straightforward to implement via Gibbs sampling, as the full conditional distributions are available explicitly and turn out to be inverse Gamma. We also discuss in detail the hyperparameter selection for our method. Our nonparametric Bayesian approach leads to good practical results in representative simulation examples. Finally, we apply it on a classical data set in change-point analysis: weekly closings of the Dow-Jones industrial averages. "
1801_04577_DSFD2017.tex," Cascaded or central-moment-based lattice Boltzmann method (CLBM) is a relatively recent development in the LBM community, which has better numerical stability and naturally achieves better Galilean invariance for a specified lattice compared with the classical single-relation-time (SRT) LBM. Recently, CLBM has been extended to simulate thermal flows based on the double-distribution-function (DDF) approach [L. Fei et al., Int. J. Heat Mass Transfer 120, 624 (2018)] . In this work, CLBM is further extended to simulate thermal flows involving complex thermal boundary conditions and/or a heat source. Particularly, a discrete source term in the central-moment space is proposed to include a heat source, and a general bounce-back scheme is employed to implement thermal boundary conditions. The numerical results for several canonical problems are in good agreement with the analytical solutions and/or numerical results in the literature, which verifies the present CLBM implementation for thermal flows. "
1801_02990_jpp2esam.tex," Using Stokes flow between eccentric counter-rotating cylinders as a prototype for bounded nearly parallel lubrication flow, we investigate the effect of a slender recirculation region within the flow field on cross-stream heat or mass transport in the important limit of high P e clet number \Pen \ where the enhancement over pure conduction heat transfer without recirculation is most pronounced. The steady enhancement is estimated with a matched asymptotic expansion to resolve the diffusive boundary layers at the separatrices which bound the recirculation region. The enhancement over pure conduction is shown to vary as $\frac{1{2}}$ at infinite \Pen, where $\frac{1{2}}$ is the characteristic width of the recirculation region. The enhancement decays from this asymptote as $\Pen\smh$ . "
1801_09718_main.tex," Visual Question Answering (VQA) is a novel problem domain where multi-modal inputs must be processed in order to solve the task given in the form of a natural language. As the solutions inherently require to combine visual and natural language processing with abstract reasoning, the problem is considered as AI-complete. Recent advances indicate that using high-level, abstract facts extracted from the inputs might facilitate reasoning. Following that direction we decided to develop a solution combining state-of-the-art object detection and reasoning modules. The results, achieved on the well-balanced CLEVR dataset, confirm the promises and show significant, few percent improvements of accuracy on the complex ""counting"" task. "
