old_file,abstract
1801_00571_DetectionAndEstimationOfPartiallyObservedDynamicalSystems.tex," In real environments, it is seldom that physical dynamical systems can be observed without detection failures and without disturbances from the background. Yet, a vast majority of the literature regarding Bayesian inference for such systems ignore these undesired effects and assume that pre-processing can be applied to remove them. To some extent, this goes against the Bayesian philosophy which promotes the integration of the different aspects of the problem into a joint formulation. However, such a formulation usually involves a precise modelling of these adverse effects as well as the setting of the corresponding parameters, which is not always feasible or realistic. In this article, we propose to use outer measures of a certain form to allow for additional flexibility in the modelling of these effects within the Bayesian paradigm. It is shown that detection and estimation of partially-observed dynamical systems can be performed with little to no knowledge about the background disturbances and with only an upper bound on the probability of detection failure. It is conformed in simulations that such an approach can compete with standard methods even when the latter are given the true parameter values. "
1801_04080_contracts.tex,"  In a continuous-time setting where a risk-averse agent controls the  drift of an output process driven by a Brownian motion, optimal  contracts are linear in the terminal output; this result is  well-known in a setting with moral hazard and -- under stronger  assumptions -- adverse selection.  We show that this result continues to hold when in addition  reservation utilities are type-dependent. This type of problem  occurs in the study of optimal compensation problems involving  competing principals. \medskip  \noindent Keywords:  Principal-agent modelling; contract design; stochastic process;  stochastic control% "
1801_03181_abstract.tex," We describe the first public data release of the Dark Energy Survey, DES DR1, consisting of reduced single-epoch images, coadded images, coadded source catalogs, and associated products and services assembled over the first three years of DES science operations. %DES DR1 is based on 345 distinct nights (August 2013 to February 2016) of optical/near-infrared imaging by the Dark Energy Camera mounted on the 4-m Blanco telescope at Cerro Tololo Inter-American Observatory in Chile. DES DR1 is based on optical/near-infrared imaging from 345 distinct nights (August 2013 to February 2016) by the Dark Energy Camera mounted on the 4-m Blanco telescope at Cerro Tololo Inter-American Observatory in Chile. We release data from the DES wide-area survey covering  $\roughly 5000 \deg^2$ of the southern Galactic cap in five broad photometric bands, $grizY$ . DES DR1 has a median delivered point-spread function of $g = \medfwhmg$ , $r = \medfwhmr$ , $i = \medfwhmi$ , $z = \medfwhmz$ , and $Y = \medfwhmy$  \asec FWHM, a photometric precision of $<1$ \% in all bands, and an astrometric precision of $\astroabs~\mas$ . % are measured relative to Gaia . %The median coadded catalog depth for \rm S/N = 10$ is $g = \maglimsnrg$ , $r = \maglimsnrr$ , $i = \maglimsnri$ , $z = \maglimsnrz$ , and $Y = \maglimsnry$  \magn. The median coadded catalog depth for a 1.95 \rm S/N = 10$ is $g = \maglimsnraperg$ , $r = \maglimsnraperr$ , $i = \maglimsnraperi$ , $z = \maglimsnraperz$ , and $Y = \maglimsnrapery$  \magn. DES DR1 includes nearly $400$ M distinct astronomical objects detected in $,000$ coadd tiles of size  $0.534 \deg^2$ produced from $,000$ individual exposures. Benchmark galaxy and stellar samples contain $\rm M$ and $\rm M$ objects, respectively, following a basic object quality selection. These data are accessible through a range of interfaces, including query web clients, image cutout servers, jupyter notebooks, and an interactive coadd image visualization tool. DES DR1 constitutes the largest photometric data set to date at the achieved depth and photometric precision. %The \nexposures individual exposures comprising DES DR1 were acquired with the Dark Energy Camera mounted on the Blanco 4-m telescope at Cerro Tololo Inter-American Observatory over 315 nights between August 2013 and February 2016. %based on the first three years of full science operations. %which are intended to support general astronomical investigations by the community. % The Dark Energy Survey (DES) %DES is a Stage II dark energy project designed to understand the origin of cosmic acceleration. %DES performs %Approximately XX survey-quality exposures were acquired with the Dark Energy Camera mounted on the %DES is designed to study the origin of cosmic acceleration using the Dark Energy Camera mounted on the Blanco 4-m telescope at Cerro Tololo Inter-American Observatory.  %by DES, a $\sim5000$ deg $^2$ imaging survey of the south Galactic cap in five optical and near-IR bands ( $grizY$ ) ultimately reaching a depth of $\sim$ 24th magnitude in the $i$ -band. % %The \nexposures individual exposures comprising DES DR1 were acquired with the Dark Energy Camera mounted on the Blanco 4-m telescope at Cerro Tololo Inter-American Observatory over 315 nights between August 2013 and February 2016. %The median delivered seeing in the $riz$ bands was ${\rm FWHM} \sim 0\farcs.9$ . %A photometric precision of $<1$ \% and astrometric precision of $\sim150$ ~mas are measured relative to Gaia . %The median coadded \magauto $S/N = 10$ depth in the $grizY$ bands is \maglimsnrg, \maglimsnrr, \maglimsnri, \maglimsnrz, and \maglimsnry \magn. %DR1 includes nearly $400$ M distinct astronomical objects detected in \roughly 10,000 coadded images produced from the individual exposures. %These data products are accessible through a range of interfaces, including an SQL web client, image cutout server, and interactive footprint search location and coadd image visualization tools. %Contemporaneously, DES performs a deep, time-domain survey in four optical bands ($g,r,i,z$ ) over $\sim 27$ square-degree. % I don't think we should emphasize the SN survey in the abstract if we are not releasing any of the associated data. %DES exposures are processed nightly with an evolving data reduction pipeline and evaluated for image quality to determine if they need to be retaken. %Difference imaging and transient source detection is also performed nightly. % Also, we are not releasing any difference imaging products, only the single-epoch detections in the incremental release of summer 2018. %On a yearly basis, DES exposures are reprocessed with a refined pipeline and coadded to maximize imaging depth. %DR1 includes $\sim400$ M distinct astronomical objects detected in the coadded images. %The median delivered $i$ -band seeing is $\sim0.9 \asec$ , photometric calibration of $\sim1$ \%, and astrometric precision of 150 mas. %Here we describe the DES image processing pipeline in support of DES science, as a reference for users of archival DES data, and as a guide for future astronomical surveys. "
1801_00778_main.tex, Quantum algorithm plays a notable role in solving linear systems of equations with an exponential speedup over the classical algorithm. Here we demonstrate Gaussian elimination method for solving system of equations by using the well known Grover's quantum search algorithm. The elimination method mainly involves elementary row operations which can be performed by applying particular matrices that can be obtained from Grover's algorithm. We explicitly illustrate the whole process by taking a simple example consisting of a set of equations.
1801_05270_Lane_manuscript.tex," We demonstrate in situ gate-tunable acoustoelectric transport in exfoliated monolayer graphene by measuring the voltage created as high-frequency surface acoustic waves dynamically drive charge carriers in the graphene. We employ a flip-chip device configuration to conduct acoustoelectric measurements while simultaneously controlling the graphene carrier density with a metal-oxide back-gate. At high carrier density we observe dependence of the acoustoelectric signal on the sign of the graphene charge carriers, while at low densities we observe anomalous sign reversals of the acoustoelectrically generated voltage. We attribute these anomalous sign reversals to spatially heterogeneous conduction in the vicinity of charge neutrality. "
1801_04076_deep.tex," Deep learning and convolutional neural networks (CNN) have been intensively used in many image processing topics during last years. As far as steganalysis is concerned, the use of CNN allows reaching the state-of-the-art results. The performances of such networks often rely on the size of their learning database. An obvious preliminary assumption could be considering that “the bigger a database is, the better the results are”. However, it appears that cautions have to be taken when increasing the database size if one desire to improve the classification accuracy i.e. enhance the steganalysis efficiency. To our knowledge, no study has been performed on the enrichment impact of a learning database on the steganalysis performance. What kind of images can be added to the initial learning set? What are the sensitive criteria: the camera models used for acquiring the images, the treatments applied to the images, the cameras proportions in the database, etc? This article continues the work carried out in a previous paper in submission Yedroudj2018_Net , and explores the ways to improve the performances of CNN. It aims at studying the effects of “base augmentation” on the performance of steganalysis using a CNN. We present the results of this study using various experimental protocols and various databases to define the good practices in base augmentation for steganalysis. "
1801_10103_FIACPO.tex," 	We investigate systems of the form $A^tg:g\in\G,t\in[0,L]\$ where $A \in B(\HH)$ is a normal operator in a separable Hilbert space $\HH$ , $\G\subset \HH$ is a countable set, and $L$ is a positive real number. Although the main goal of this work is to study the frame properties of  $A^tg:g\in\G,t\in[0,L]\$ , as intermediate steps, we explore the completeness and Bessel properties of such systems from a theoretical perspective, which are of interest by themselves. Beside the theoretical appeal of investigating such systems, their connections to dynamical and mobile sampling make them fundamental for understanding and solving several major problems in  engineering and science. "
1801_10583_ms.tex," Due to the liberalization of markets, the change in the energy mix and the surrounding energy laws, electricity research is a dynamically altering field with steadily changing challenges. One challenge especially for investment decisions is to provide reliable short to mid-term forecasts despite high variation in the time series of electricity prices. This paper tackles this issue in a promising and novel approach. By utilizing  combining the high precision of econometric autoregressive models in the short-run with  and the expectations of market participants reflected in future prices for the short- and mid-run we show that the forecasting performance can be vastly increased while maintaining hourly precision. We investigate the day-ahead electricity price of the EPEX Spot for Germany and Austria and setup a model which incorporates the Phelix future of the EEX for Germany and Austria. The model can be considered as an AR24-X model with one distinct model for each hour of the day. We are able to show that future data contains relevant price information for future time periods of the day-ahead electricity price. We show that relying only on deterministic external regressors can provide stability for forecast horizons of multiple weeks.  By implementing a fast and efficient lasso estimation approach we demonstrate that our model can outperform several other models in the literature. "
1801_08388_top.tex," Non-Rigid structure from motion ( ), is a long standing and central problem in computer vision, allowing us to obtain 3D information from multiple images when the scene is dynamic. A main issue regarding the further development of this important computer vision topic, is the lack of high quality data sets. We here address this issue by presenting of data set compiled for this purpose, which is made publicly available, and considerably larger than previous state of the art. To validate the applicability of this data set, and provide and investigation into the state of the art of  , including potential directions forward, we here present a benchmark and a scrupulous evaluation using this data set. This benchmark evaluates 16 different methods with available code, which we argue reasonably spans the state of the art in  . We also hope, that the presented and public data set and evaluation, will provide benchmark tools for further development in this field. "
1801_07197.tex," We show that, for a finitely generated residually finite group $\Gamma$ , the word $[x_1, \ldots, x_k]$ is a probabilistic identity of $\Gamma$ if and only if $\Gamma$ is virtually nilpotent of class less than $k$ . Related results, generalizations and problems are also discussed. "
