file,title
1801_05050_SfyrisBoronNitride.tex,"Constitutive modeling of some 2D crystals: graphene, hexagonal BN, MoS$_2$, WSe$_2$ and NbSe$_2$."
1801_00729.tex,Surface plasmons  in a semi-bounded  massless Dirac plasma 
1801_00336_MultiscalarSegC.tex,\vspace{-1.5cm} From Urban Segregation to Multifocal Pattern Detection
1801_01183_torba-prl.tex,Distance-dependent sign-reversal in the Casimir-Lifshitz torque
1801_10533_shared-bary.tex,"{\TheTitle}\thanks{Submitted to the editors DATE.
%\funding{This work was funded by the Fog Research Institute under contract no.~FRI-454.}
}"
1801_08017_DeltaZero.tex,Hall-Littlewood expansions of Schur delta operators at $t = 0$
1801_04130_polymer_length_stiffness.tex,Interpretation of the vibrational spectra of glassy polymers using coarse-grained simulations
1801_08063_DoiPelitiExcl.tex,
1801_00234_stability.tex,"Unstable modes in projection-based reduced-order models: \\
How many can there be, and what do they tell you?"
1801_02215_TextCritBact_v9_Arxiv.tex,Motile bacteria in a critical fluid mixture
1801_07552.tex,Explicit Green operators for quantum mechanical Hamiltonians.~II.~ Edge type singularities of the helium atom
1801_04120_CaTiO3-V4.tex,On melt solutions for the growth of CaTiO$_3$ crystals
1801_08433.tex,
1801_00562_C13.tex,"Hoyle-analogue state in $\bf{^{13}}$C 
  \\studied with Antisymmetrized Molecular Dynamics"
1801_04488_main.tex,An asymptotically compatible meshfree quadrature rule for non-local problems with applications to peridynamics
1801_04584_ICM-containers-final.tex,The method of hypergraph containers
1801_09448_MCTDH-X_Cavity_Two-Compnent-BEC_Arxiv.tex,Many-body physics in two-component Bose-Einstein condensates in a cavity: fragmented superradiance and polarization
1801_07154_main.tex,Mixed Quantum-Classical Electrodynamics: Understanding  Spontaneous Decay and Zero Point Energy
1801_08994.tex,Rigidity of minimal submanifolds in space forms
1801_08725_2317.tex,Revisiting $D_{s0}^{*}(2317)$ as a $0^{+}$ tetraquark state from QCD sum rules
1801_07790_pap-ensmtech.tex,Multivariate analysis of short time series in terms of ensembles of correlation matrices
1801_08458_article-amsart-arxiv.tex,
1801_03457_positive_Markov_interval_Arxiv.tex,A class of $L_1$-to-$L_1$ and $L_\infty$-to-$L_\infty$ interval observers for (delayed) Markov jump linear systems
1801_05714.tex,A note about irreducibility of a resultant
1801_00571_DetectionAndEstimationOfPartiallyObservedDynamicalSystems.tex,Detection and estimation of partially-observed dynamical systems: an outer-measure approach
1801_09213.tex,"\sc Fr\'echet differentiability in Fr\'echet spaces, and differential equations with unbounded variable delay"
1801_02208.tex,Johnson pseudo-contractibility and pseudo-amenability of $ \theta $-Lau product of Banach algebras 
1801_04965_PATHAddition_15012018.tex,
1801_04080_contracts.tex,"\Large\bf Optimal contracts under competition when uncertainty from
  adverse selection and moral hazard are present\footnotetext{Natalie
    Packham, Berlin School of Economics and Law, Department of
    Business and Economics, Badensche Str.\ 52,
  10825 Berlin, Germany. Email: packham@hwr-berlin.de}%
\footnotetext{Accepted for publication in {\em Statistics and Probability Letters}}"
1801_10086_Bonsma_Soutiere_Goyal_arxiv.tex,How adaptive immunity constrains composition and fate of large bacterial populations
1801_02069_TDSC-2016-09-0372.tex,Privacy-Preserving Aggregate Queries for Optimal Location Selection
1801_07080_main.tex,Towards Automated Tuberculosis detection using Deep Learning
1801_05285_tokar-pt1.tex,"Non-Gaussian diffusion profiles caused by mobile impurity-vacancy
pairs in the five frequency model of diffusion"
1801_00857_OBTL_arXiv.tex,Optimal Bayesian Transfer Learning
1801_06216_01-17-G2partition.tex,Degree-constrained $2$-partitions of graphs
1801_00746_acm-sigplanproc-template.tex,
1801_02826_Jayanta_paper.tex,Time-domain Astronomy with the GMRT
1801_03980_aarxiv_ivo_final.tex,An innovative technique for the investigation of the 4-fold forbidden beta-decay of $^{50}$V
1801_02529_finitary-coding.tex,Finitary coding of the sub-critical Ising model with finite expected coding volume
1801_03171_ms_nc_20180109_arXiv.tex,\textbf{Transient Rotation of Photospheric Vector Magnetic Fields associated with a Solar Flare}
1801_06807_multilingual_alignment.tex,A Universal Semantic Space
1801_02184_arxiv.tex,Impact of network randomness on multiple opinion dynamics
1801_00979.tex,Counting Rational Points on Quadric Surfaces
1801_10581_main.tex,Kramers' revenge
1801_03830_twostage.tex,"{\TheTitle}\thanks{Submitted to the editors DATE.
%\funding{This work was funded by the Fog Research Institute under contract no.~FRI-454.}
}"
1801_02244_sym.tex,Symmetric Khovanov--Rozansky link homologies
1801_05635_nanotube_jpcb.tex,Controlling polyelectrolyte adsorption onto carbon nanotubes by tuning ion-image interactions
1801_02457_sample-sigchi.tex,SIG Proceedings Paper in LaTeX Format
1801_07324_main.tex,Magnetic domain wall creep and depinning: a scalar field model approach
1801_04316_ms_vf.tex,Relationship between Intensity of White-Light Flares and Proton Flux of Solar Energetic Particles
1801_10186_d_sep_arxiv.tex,A Rational Distributed Process-level Account of Independence Judgment
1801_01425_Hof_int.tex,Edge modes in the  Hofstadter model of interacting electrons
1801_00370_Lie_Pseudogroups_a_la_Cartan_-_Structure_Equations.tex,Lie Pseudogroups \`a la Cartan: Structure Equations
1801_03440_template.tex,"$b$ quark mass effects in associated production%
\thanks{Presented at the HiggsTools Final Meeting, Durham}%
% you can use '\\' to break lines
"
1801_04331_egpaper_for_review.tex, Prototypicality effects in global semantic description of objects
1801_03464_LPV_systems_poisson_Arxiv.tex,Stability analysis and state-feedback control of LPV systems with piecewise constant parameters subject to spontaneous Poissonian jumps
1801_04890_ms.tex,
1801_03851_fa_missing4.tex,"Autoencoders and Probabilistic Inference with Missing Data: \\ 
An Exact Solution for The Factor Analysis Case"
1801_01968_NEC2DQN_en.tex,"Faster Deep Q-learning \\ using Neural Episodic Control\\
%\thanks{Identify applicable funding agency here. If none, delete this.}
"
1801_00453_main.tex,Automated Rating of Recorded Classroom Presentations using Speech Analysis in Kazakh
1801_06829_main.tex,Doppler magnification in flux-limited galaxy number counts with finite redshift bin width
1801_09021_mainFinalarXiv.tex,A Characterization of Guesswork on\\Swiftly Tilting Curves
1801_08624_egpaper_for_review.tex,Generating Handwritten Chinese Characters using CycleGAN
1801_08877_kokoN.tex,
1801_07027.tex,
1801_03593_eagle-alpha.tex,
1801_00778_main.tex,Solving Linear Systems of Equations by Gaussian Elimination Method Using Grover's Search Algorithm: An IBM Quantum Experience
1801_06717_thesis-main.tex,
