old_file,abstract
1801_05050_SfyrisBoronNitride.tex," We lay down a nonlinear elastic constitutive framework for the modeling of some 2D crystals of current interest. The 2D crystals we treat are graphene, hexagonal boron nitride and some metal dichalcogenides: molybdenium disulfide (MoS $_2$ ), tungsten selenium (WSe $_2$ ), and niobium diselenide (NbSe $_2$ ). We first find their arithmetic symmetries by using the theory of monoatomic and diatomic 2-nets. Then, by confinement to weak transformation neighbourhoods and by applying the Cauchy-Born rule we are able to use the symmetries continuum mechanics utilizes: geometric symmetries. We give the complete and irreducible representation for energies depending on an in-plane measure, the curvature tensor and the shift vector. This is done for the symmetry hierarchies that describe how symmetry changes at the continuum level: $6 \nu 2 \nu \rightarrow \mathcal C_1$ for monoatomic 2-nets and $6 \nu 1 \nu \rightarrow \mathcal C_1$ for diatomic two nets. Having these energies at hand we are able to evaluate stresses and couple stresses for each symmetry regime.  "
1801_00453_main.tex," Effective presentation skills can help to succeed in business, career and academy. This paper presents the design of speech assessment during the oral presentation and the algorithm for speech evaluation based on criteria of optimal intonation. As the pace of the speech and its optimal intonation varies from language to language, developing an automatic identification of language during the presentation is required. Proposed algorithm was tested with presentations delivered in Kazakh language. For testing purposes the features of Kazakh phonemes were extracted using MFCC and PLP methods and created a Hidden Markov Model (HMM) c22, c22 of Kazakh phonemes. Kazakh vowel formants were defined and the correlation between the deviation rate in fundamental frequency and the liveliness of the speech to evaluate intonation of the presentation was analyzed. It was established that the threshold value between monotone and dynamic speech is 0.16 and the error for intonation evaluation is 19 \%.  "
1801_03581_biases.tex," Automated particle locating algorithms have revolutionized microscopy image analysis, enabling researchers to rapidly locate many particles to within a few pixels in a microscope image. The vast majority of these algorithms operate through heuristic approaches inspired by computer vision, such as identifying particles with a blob detection. While rapid, these algorithms are plagued by biases~ Baumgartl2005, Lu2013, Gao2009 , and many researchers still frequently ignore or understate these biases. In this paper, we examine sources of biases in particle localization. Rather than exhaustively examine all possible sources of bias, we illustrate their scale, the large number of sources, and the difficulty of correcting the biases with a heuristic method. We do this by generating a series of simple images, introducing sources of bias one at a time. Using these images, we examine the performance of two heuristic algorithms throughout the process: a centroid algorithm and a Gaussian fitting algorithm. We contrast the two heuristic methods with a new approach based on reconstructing an image with a generative model to fit the data (Parameter Extraction from Reconstructing Images, or PERI). While the heuristic approaches produce considerable biases even on unrealistically simple images, the reconstruction-based approach accurately measures particle positions even in complex, highly realistic images. We close by reiterating the fundamental reason that a reconstruction-based approach accurately extracts particle positions -- any imperfections in the fit both demonstrate which sources of systematic error are still present and provide a roadmap to incorporating them. "
1801_03033_FermiSymposium_Xiaping_new.tex,"In this work, we compare the $\gamma$-ray spectra available in literature from 11 middle aged supernova remnants (SNRs) interacting with molecular clouds (MCs). It is found that 5 remnants prefer a smoothly broken power law proton spectrum with similar power law index but different break energy. The rest of the SNRs need updated data to test whether a spectral break is preferred in the proton spectrum. Then we compare the $\gamma$-ray spectra from all 11 SNRs with the prediction from widely accepted escaping scenario and direct interaction scenario. We show that current $\gamma$-ray data is inconsistent with the escaping model statistically, as it predicts a diversity of $\gamma$-ray spectra which is not detected in the observation. We also find that ambient CRs can be very important for the $\gamma$-ray emission in the MCs external to W28 and W44, which requires further investigation. In the direct interaction scenario, we focus on re-acceleration of pre-existing ambient CRs. The model can produce the overall profile of $\gamma$-ray data with different acceleration time, but it suggests a transition of seed particles in the evolution of SNR. Whether such transition indeed exists has to be tested by future observation. In the end, we propose that radiative SNR without MC interaction can also produce a significant amount of $\gamma$-ray emission. One good candidate is S147. With accumulated Fermi data and CTA in future we expect to detect more remnants like S147. "
1801_06907_si29.tex,"  Using density functional molecular dynamics simulations, we study  the behavior of different hydrogen-oxygen compounds at megabar  pressures and several thousands of degrees Kelvin where water has  been predicted to occur in superionic form. When we study the close  packed hcp and dhcp structures of superionic water, we find that  they have comparable Gibbs free energies to the fcc structure that  we predicted previously [Phys. Rev. Lett., 110 (2013) 151102] .  Then we present a comprehensive comparison of different superionic  water candidate structures with $P2_1$ , $P2_1/c$ , $P3_121$ , $Pcca$ ,  $C2/m$ , and $Pa\bar 3$ symmetry that are based on published  ground-state structures. We find that the $P2_1$ and $P2_1/c$  structures transform into a different superionic structure with  $P2_1/c$ symmetry, which at 4000 K has a lower Gibbs free energy than fcc for  pressures higher than 22.8 $\pm$ 0.5 Mbar. This novel structure may  also be obtained by distorting a hcp supercell. Finally we show that  H $_2$ O $_2$ and H $_9$ O $_4$ structures will also assume a superionic  state at elevated temperatures. Based on Gibbs free energy  calculations at 5000 K, we predict that superionic water decompose  into H $_2$ O $_2$ and H $_9$ O $_4$ at 68.7 $\pm$ 0.5 Mbar. "
1801_08186_main.tex," In this paper, we address referring expression comprehension: localizing an image region described by a natural language expression. While most recent work treats expressions as a single unit, we propose to decompose them into three modular components related to subject appearance, location, and relationship to other objects. This allows us to flexibly adapt to expressions containing different types of information in an end-to-end framework. In our model, which we call the Modular Attention Network (MAttNet), two types of attention are utilized: language-based attention that learns the module weights as well as the word/phrase attention that each module should focus on; and visual attention that allows the subject and relationship modules to focus on relevant image components. Module weights combine scores from all three modules dynamically to output an overall score. Experiments show that MAttNet outperforms previous state-of-art methods by a large margin on both bounding-box-level and pixel-level comprehension tasks. Project and Demo page: \href{http://gpuvision.cs.unc.edu/refer/comprehension{gpuvision.cs.unc.edu/refer/comprehension}} "
1801_03832_LaibacherTamma_TowardQuantumComputationalSupremacy.tex,
1801_00410_qLMS_enhanced_updated_review.tex," In this work, a new class of stochastic gradient algorithm is developed based on $q$ -calculus. Unlike the existing $q$ -LMS algorithm, the proposed approach fully utilizes the concept of $q$ -calculus by incorporating time-varying $q$ parameter. The proposed enhanced $q$ -LMS ( $Eq$ -LMS) algorithm utilizes a novel, parameterless concept of error-correlation energy and normalization of signal to ensure high convergence, stability and low steady-state error. The proposed algorithm automatically adapts the learning rate with respect to the error. For the evaluation purpose the system identification problem is considered. Extensive experiments show better performance of the proposed $Eq$ -LMS algorithm compared to the standard $q$ -LMS approach.  "
1801_01045_main.tex,"\abstract{ In this work we have performed a series of simulations of the atmosphere of GJ~1214b assuming different metallicities using the Met Office Unified Model (UM). The UM is a general circulation model (GCM) that solves the deep, non-hydrostatic equations of motion and uses a flexible and accurate radiative transfer scheme, based on the two-stream and correlated-$k$ approximations, to calculate the heating rates. In this work we consistently couple a well-tested Gibbs energy minimisation scheme to solve for the chemical equilibrium abundances locally in each grid cell for a general set of elemental abundances, further improving the flexibility and accuracy of the model. As the metallicity of the atmosphere is increased we find significant changes in the dynamical and thermal structure, with subsequent implications for the simulated phase curve. The trends that we find are qualitatively consistent with previous works, though with quantitative differences. We investigate in detail the effect of increasing the metallicity by splitting the mechanism into constituents, involving the mean molecular weight, the heat capacity and the opacities. We find the opacity effect to be the dominant mechanism in altering the circulation and thermal structure. This result highlights the importance of accurately computing the opacities and radiative transfer in 3D GCMs. }"
1801_05907.tex," In this paper, we derive estimates for scalar curvature type equations with more singular right hand side. As an application, we prove Donaldson's conjecture on the equivalence between geodesic stability and existence of cscK when $Aut_0(M,J)\neq0$ . Moreover, we also show that when $Aut_0(M,J)\neq0$ , the properness of $K$ -energy with respect to a suitably defined distance implies the existence of cscK. "
