old_file,abstract
1801_06545_ms.tex," Telescopes are much more expensive than astronomers, so it is essential to minimize required sample sizes by using the most data-efficient statistical methods possible. However, the most commonly used model-independent techniques for finding the relationship between two variables in astronomy are flawed. In the worst case they can lead without warning to subtly yet catastrophically wrong results, and even in the best case they require more data than necessary. Unfortunately, there is no single best technique for nonparametric regression. Instead, we provide a guide for how astronomers can choose the best method for their specific problem and provide a python library with both wrappers for the most useful existing algorithms and implementations of two new algorithms developed here. "
1801_00696_main.tex," In this paper we consider pairs of interacting electrons moving in a simple quantum wire, namely the half-line $R_+$ . In particular, we extend the results obtained in KernerElectronPairs by allowing for contact interactions of the Lieb-Liniger type between the two electrons constituting the pair. We construct the associated Hamiltonian rigorously and study its spectral properties. We then investigate Bose-Einstein condensation of pairs and prove, as a main result, the existence of condensation whenever the Hamiltonian has a non-trivial discrete spectrum. Most importantly, condensation is proved for very weak and very strong contact interactions. "
1801_03764_V4.tex," We study analytically the polarization behaviour of directional couplers composed of birefringent waveguides, showing that they can induce polarization transformations that depend on the specific input-output path considered. On the basis of this study, we propose and demonstrate experimentally, by femtosecond laser writing, directional couplers that are free from this problem and also yield a polarization independent power-splitting ratio. More in detail, we devise two different approaches to realize such devices: the first one is based on local birefringence engineering, while the second one exploits ultra-low birefringence waveguides obtained by thermal annealing. "
1801_05015_axiomaticinfotherm2.tex," 	We present an axiomatic framework for thermodynamics that incorporates 	information as a fundamental concept. The axioms describe both ordinary 	thermodynamic processes and those in which information is acquired, used 	and erased, as in the operation of Maxwell's demon. 	This system, similar to previous axiomatic systems for thermodynamics, supports 	the construction of conserved quantities and an entropy function 	governing state changes. Here, however, the entropy exhibits 	both information and thermodynamic aspects. 	Although our axioms are not based upon probabilistic concepts, 	a natural and highly useful concept of probability 	emerges from the entropy function itself.  	Our abstract system has many models, including both classical 	and quantum examples. "
1801_00058_Galindro_Torres-rv.tex," We propose a simple mathematical model for unemployment. Despite its simpleness, we claim that the model is more realistic and useful than recent models available in the literature. A case study with real data from Portugal supports our claim. An optimal control problem is formulated and solved, which provides some non-trivial and interesting conclusions. "
1801_09397_asymmetric_manuscript.tex," % \boldmath In this paper we show how to break the angular symmetry of electromagnetic response of thin absorbers without breaking reciprocity. Based on our recent results on multichannel metasurfaces, we propose a new concept of asymmetric absorbers in which the absorption coefficient for waves impinging from a given oblique angle is extraordinarily different from that for waves incident from the oppositely tilted direction. The proposed asymmetric structure realizes controllable reflectance (from 0 to 0.99) for waves incident from one direction, exhibiting total absorption when the sign of the incidence angle is reversed. We provide a theoretical and numerical analysis for the asymmetric absorber, including design and numerical validation of its performance. "
1801_10549_CuSb2O6_ArXiv_v1.tex," Raman spectroscopy experiments on single crystals of CuSb $_2$ O $_6$ and CoSb $_2$ O $_6$ quasi-one-dimensional antiferromagnets with trirutile crystal structure were performed, with a focus on the first material. The observed Raman-active phonon modes and previously reported infrared-active modes were identified with the aid of {\it ab} -initio lattice dynamics calculations. The structural transition between monoclinic $\beta$ -CuSb $_2$ O $_6$ and tetragonal $\alpha$ -CuSb $_2$ O $_6$ phases at $T_s=400$ K is manifested in our spectra by a ``repulsion'' of two accidentally quasi-degenerate symmetric modes below $T_s$ , caused by a phonon mixing effect that is only operative in the monoclinic $\beta$ -CuSb $_2$ O $_6$ phase due to symmetry restrictions. Also, two specific phonons, associated with CuO $_6$ octahedra rotation and with a Jahn-Teller elongation mode, soften and broaden appreciably as $T \rightarrow T_s$ . A crossover from a displacive to an order-disorder transition at $T_s$ is inferred. "
1801_08428_Discrete_PMQ_ARX.tex," We propose a natural discretisation scheme for classical projective minimal surfaces. We follow the classical geometric characterisation and classification of projective minimal surfaces and introduce at each step canonical discrete models of the associated geometric notions and objects. Thus, we introduce discrete analogues of classical Lie quadrics and their envelopes and classify discrete projective minimal surfaces according to the cardinality of the class of envelopes. This leads to discrete versions of Godeaux-Rozet, Demoulin and Tzitz \'eica surfaces. The latter class of surfaces requires the introduction of certain discrete line congruences which may also be employed in the classification of discrete projective minimal surfaces. The classification scheme is based on the notion of discrete surfaces which are in asymptotic correspondence. In this context, we set down a discrete analogue of a classical theorem which states that an envelope (of the Lie quadrics) of a surface is in asymptotic correspondence with the surface if and only if the surface is either projective minimal or a Q surface. Accordingly, we present a geometric definition of discrete Q surfaces and their relatives, namely discrete counterparts of classical semi-Q, complex, doubly Q and doubly complex surfaces. "
1801_09449_TernaryNet_arxiv.tex," Deep convolutional neural networks (DCNN) are currently ubiquitous in medical imaging. While their versatility and high quality results for common image analysis tasks including segmentation, localisation and prediction is astonishing, the large representational power comes at the cost of highly demanding computational effort. This limits their practical applications for image guided interventions and diagnostic (point-of-care) support using mobile devices without graphics processing units (GPU). We propose a new scheme that approximates both trainable weights and neural activations in deep networks by ternary values and tackles the open question of backpropagation when dealing with non-differentiable functions. Our solution enables the removal of the expensive floating-point matrix multiplications throughout any convolutional neural network and replaces them by energy and time preserving binary operators and population counts. Our approach, which is demonstrated using a fully-convolutional network (FCN) for CT pancreas segmentation leads to more than 10-fold reduced memory requirements and we provide a concept for sub-second inference without GPUs. Our ternary approximation obtains high accuracies (without any post-processing) with a Dice overlap of 71.0 \% that are statistically equivalent to using networks with high-precision weights and activations. We further demonstrate the significant improvements reached in comparison to binary quantisation and without our proposed ternary hyperbolic tangent continuation. We present a key enabling technique for highly efficient DCNN inference without GPUs that will help to bring the advances of deep learning to practical clinical applications. It has also great promise for improving accuracies in large-scale medical data retrieval.  %  Deep Learning \and Pancreas \and Segmentation \and Sparsity \and Model compression \and Hamming distance "
1801_06369_main.tex," In this contribution, we present the results of the application of a parameter space reduction methodology based on active subspaces property to the hull hydrodynamic design problem. In the framework of such typical naval architecture problem, several parametric deformations of an initial hull shape are considered to assess the influence of the shape parameters considered on the hull total drag. The hull resistance, which is the performance parameter associated with each parametric hull, is typically computed by means of numerical simulations of the hydrodynamic flow past the ship. Such problem is extremely relevant at the preliminary stages of the ship design, when several flow simulations are typically carried out by the engineers to establish a certain sensibility on the total drag dependence on the hull geometrical parameters considered and on other physical parameters. Given the high number of geometric and physical parameters involved –which might result in a high number of time consuming hydrodynamic simulations– assessing whether the parameters space can be reduced would lead to considerable computational cost reduction at the design stage. Thus, the main idea of this work is to employ the active subspaces to identify possible lower dimensional structures in the parameter space, or to verify the parameter distribution in the position of the control points. To this end, a fully automated procedure has been implemented to produce several small shape perturbations of an original hull CAD geometry which are then used to carry out high-fidelity flow simulations in different cruise conditions and collect data for the active subspaces analysis. To achieve full automation of the open source pipeline described, both the free form deformation methodology employed for the hull perturbations and the high fidelity solver based on unsteady potential flow theory, with fully nonlinear free surface treatment, are directly interfaced with CAD data structures and operate using IGES vendor-neutral file formats as input files. The computational cost of the fluid dynamic simulations is further reduced through the application of dynamic mode decomposition is to reconstruct the final, steady state total drag value given only few initial snapshots of the simulation. The active subspaces analysis is here applied to the geometry of the DTMB-5415 naval combatant hull, which is a common benchmark in ship hydrodynamics simulations, within the SISSA mathLab applied mathematics lab. The contribution will discuss several details of the implementation of the tools developed, as well as the results of their application to the target engineering problem. "
